timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive
1628096150,13.9,64275.6,5820.9,52793.0
1628096151,13.0,64275.6,5820.9,52793.3
1628096152,12.6,64275.6,5820.9,52793.3
1628096153,14.0,64275.6,5820.9,52794.1
1628096154,13.1,64275.6,5820.9,52808.1
1628096155,13.4,64275.6,5820.9,52794.6
1628096156,12.8,64275.6,5820.9,52794.8
1628096157,13.5,64275.6,5820.9,52795.6
1628096158,13.3,64275.6,5820.9,52796.1
1628096159,14.3,64275.6,5820.9,52796.2
1628096160,13.7,64275.6,5820.9,52797.3
1628096161,15.2,64275.6,5820.9,52797.8
1628096162,12.5,64275.6,5820.9,52797.7
1628096163,14.8,64275.6,5820.9,52798.5
1628096164,12.7,64275.6,5820.9,52810.2
1628096165,13.7,64275.6,5820.9,52799.6
1628096166,12.8,64275.6,5820.9,52799.9
1628096167,13.2,64275.6,5820.9,52800.8
1628096168,12.7,64275.6,5820.9,52801.3
1628096169,12.7,64275.6,5820.9,52802.0
1628096170,14.1,64275.6,5820.9,52802.6
1628096171,14.7,64275.6,5820.9,52802.8
1628096172,12.8,64275.6,5820.9,52802.8
1628096173,15.1,64275.6,5820.9,52802.5
1628096174,13.5,64275.6,5820.9,52809.7
1628096175,13.2,64275.6,5820.9,52803.4
1628096176,13.2,64275.6,5820.9,52803.5
1628096177,12.5,64275.6,5820.9,52803.4
1628096178,15.5,64275.6,5820.9,52803.6
1628096179,12.5,64275.6,5820.9,52803.4
1628096180,12.5,64275.6,5820.9,52803.5
1628096181,13.0,64275.6,5820.9,52803.6
1628096182,18.3,64275.6,5820.9,52805.6
1628096183,15.0,64275.6,5820.9,52804.8
1628096184,13.1,64275.6,5820.9,52804.3
1628096185,13.1,64275.6,5820.9,52804.8
1628096186,13.6,64275.6,5820.9,52805.0
1628096187,12.8,64275.6,5820.9,52805.0
1628096188,14.5,64275.6,5820.9,52805.1
1628096189,13.0,64275.6,5820.9,52805.1
1628096190,14.4,64275.6,5820.9,52805.3
1628096191,15.0,64275.6,5820.9,52805.3
1628096192,13.4,64275.6,5820.9,52805.4
1628096193,14.1,64275.6,5820.9,52805.4
1628096194,13.2,64275.6,5820.9,52804.6
1628096195,13.1,64275.6,5820.9,52804.7
1628096196,13.4,64275.6,5820.9,52806.2
1628096197,13.6,64275.6,5820.9,52806.2
1628096198,13.1,64275.6,5820.9,52806.4
1628096199,13.8,64275.6,5820.9,52806.4
1628096200,14.1,64275.6,5820.9,52806.4
1628096201,15.2,64275.6,5820.9,52806.5
